"* instances generated with HT_HG-U133A or HT_HG-U133A use five or six vehicle scans; the identifiers for these are constructed by appending each of the six extensions (eg "".H01"") in this field to the twenty-two character number preceding the period (ie ""."") from the corresponding perturbation_scan_id"						
			MCF7		PC3	
S No. 	Data Type 	Class Label	Compound .cel file name 	Vehicle .cel file name *	Compound .cel file name 	Vehicle .cel file name *
1	Training 	1	5500024030403071907255.C05	.H01.E03.D04.B05.A06	5500024031723100807775.C05	.H01.G02.E03.D04.B05.A06
2	Training 	1	5500024030403071907253.A09	.H07.G08.E09.D10.B11.A12	5500024031723100807771.A09	.H07.G08.E09.D10.B11.A12
3	Training 	0	5500024030402071707279.B01	.H01.G02.E03.D04.B05.A06	5500024031723100807776.B01	.H01.G02.E03.D04.B05.A06
4	Training 	1	5500024030403071907257.G04	.G02.E03.D04.B05.A06	5500024030700072107992.G04	.H01.E03.D04.B05.A06
5	Training 	0	'5500024037496121008324.E08	.H07.G08.E09.D10.B11.A12	'5500024037498121108438.E02	.H01.G02.E03.D04.B05.A06
6	Training 	0	5500024032848101507997.F03	.H01.E03.D04.B05.A06	5500024035736031208613.F03	.H01.E03.D04.B05.A06
7	Training 	1	5500024030402071707277.F10	.H07.G08.E09.D10.B11.A12	5500024031723100807771.F10	.H07.G08.E09.D10.B11.A12
8	Training 	1	5500024024213121906562.B07	.H07.G08.E09.D10.B11.A12	5500024024213121906564.B01	.H01.G02.E03.D04.B05.A06
9	Training 	1	5500024032848101507997.H04	.H01.E03.D04.B05.A06	5500024035736031208613.H04	.H01.E03.D04.B05.A06
10	Training 	1	5500024032848101507997.D01	.H01.E03.D04.B05.A06	5500024035736031208613.D01	.H01.E03.D04.B05.A06
11	Training 	0	5500024030402071707279.H02	.H01.G02.E03.D04.B05.A06	5500024031723100807776.H02	.H01.G02.E03.D04.B05.A06
12	Training 	0	'5500024030403071907252.E04	.H01.G02.E03.D04.B05.A06	'5500024034290101707044.E10	.H07.G08.E09.D10.B11.A12
13	Training 	1	5500024024211121606513.D09	.H07.G08.E09.D10.B11.A12	5500024031723100807771.D09	.H07.G08.E09.D10.B11.A12
14	Training 	1	5500024024211121606513.C12	.H07.G08.E09.D10.B11.A12	5500024035736031208613.C06	.H01.E03.D04.B05.A06
15	Training 	1	5500024030403071907255.C09	.H07.G08.E09.D10.B11.A12	5500024031723100807775.C09	.H07.G08.E09.D10.B11.A12
16	Training 	1	5500024024213121906562.F07	.H07.G08.E09.D10.B11.A12	5500024024213121906564.F01	.H01.G02.E03.D04.B05.A06
17	Training 	0	5500024030402071707277.A10	.H07.G08.E09.D10.B11.A12	5500024031723100807771.A10	.H07.G08.E09.D10.B11.A12
18	Training 	0	5500024030402071707277.F11	.H07.G08.E09.D10.B11.A12	5500024031723100807771.F05	.H01.G02.E03.D04.B05.A06
19	Training 	1	5500024024211121606513.H10	.H07.G08.E09.D10.B11.A12	5500024031723100807771.H04	.H01.G02.E03.D04.B05.A06
20	Training 	0	5500024030700072107988.G09	.H07.G08.E09.D10.B11.A12	5500024035736031208613.G09	.H07.G08.E09.D10.B11.A12
21	Training 	1	'5500024030700072107994.E04	.H01.E03.D04.B05.A06	'5500024034290101707046.E10	.H07.G08.E09.D10.B11.A12
22	Training 	1	5500024024213121906562.F11	.H07.G08.E09.D10.B11.A12	5500024024213121906564.F05	.H01.G02.E03.D04.B05.A06
23	Training 	0	5500024035101021908499.D02	.H01.E03.D04.B05.A06	5500024037498121108440.D08	.H07.G08.E09.D10.B11.A12
24	Training 	1	5500024030403071907255.D01	.H01.E03.D04.B05.A06	5500024031723100807775.D01	.H01.G02.E03.D04.B05.A06
25	Training 	1	5500024028849050407169.D03	.H01.G02.E03.D04.B05.A06	5500024030700072107986.D03	.H01.G02.E03.D04.B05.A06
26	Training 	1	5500024035736031208618.D09	.H07.G08.E09.D10.B11.A12	5500024034290101707046.D09	.H07.G08.E09.D10.B11.A12
27	Training 	1	EC2004030515AA	EC2004030514AA	EC2004070116AA	EC2004070114AA
28	Training 	1	5500024030760072207031.H08	.H07.G08.E09.D10.B11.A12	5500024030700072107991.H08	.H07.G08.E09.D10.B11.A12
29	Training 	0	5500024034290101707045.H06	.H01.G02.E03.D04.B05.A06	5500024024213121906564.H06	.H01.G02.E03.D04.B05.A06
30	Training 	1	5500024030700072107988.G12	.H07.G08.E09.D10.B11.A12	5500024037498121108438.G06	.H01.G02.E03.D04.B05.A06
31	Training 	1	5500024034290101707045.C06	.H01.G02.E03.D04.B05.A06	5500024031330081907229.C06	.H01.E03.D04.B05.A06
32	Training 	1	5500024030403071907257.H09	.H07.G08.E09.D10.B11.A12	5500024030700072107992.H09	.H07.G08.D10.B11.A12
33	Training 	1	5500024030760072207031.B09	.H07.G08.E09.D10.B11.A12	5500024030700072107991.B09	.H07.G08.E09.D10.B11.A12
34	Training 	1	5500024024214122006606.F01	.H01.G02.E03.D04.B05.A06	5500024024213121906561.F01	.H01.G02.E03.D04.B05.A06
35	Training 	1	'5500024030700072107994.E06	.H01.E03.D04.B05.A06	'5500024031723100807773.E12	.H07.G08.E09.D10.B11.A12
36	Training 	1	5500024030700072107994.H05	.H01.E03.D04.B05.A06	5500024034290101707046.H05	.H01.G02.E03.D04.B05.A06
37	Training 	1	5500024024213121906562.C01	.H01.G02.E03.D04.B05.A06	5500024017802120306174.C07	.H07.G08.E09.D10.B11.A12
38	Training 	1	5500024031330081907228.C08	.H07.G08.E09.D10.B11.A12	5500024030760072207026.C08	.H07.G08.E09.D10.B11.A12
39	Training 	1	'5500024030402071707279.E07	.H07.G08.E09.D10.B11.A12	'5500024031723100807776.E07	.H07.G08.E09.D10.B11.A12
40	Training 	1	5500024035101021908499.F08	.H07.G08.E09.D10.B11.A12	5500024031723100807773.F08	.H07.G08.E09.D10.B11.A12
41	Training 	1	5500024024211121606513.B08	.H07.G08.E09.D10.B11.A12	610611110806.B08	.H07.G08.E09.D10.B11.A12
42	Training 	0	5500024053146032309538.C05	5500024053146032309538.C01	5500024053146032309538.C11	5500024053146032309538.C07
43	Training 	0	5500024024213121906562.F08	.H07.G08.E09.D10.B11.A12	5500024024213121906564.F02	.H01.G02.E03.D04.B05.A06
44	Training 	0	'5500024028416032807794.E10	.H07.G08.E09.D10.B11	'5500024035736031208613.E04	.H01.E03.D04.B05.A06
45	Training 	1	EC2004012211AA	EC2004012208AA	EC2004060209AA	EC2004060208AA
46	Training 	1	5500024030403071907255.D12	.H07.G08.E09.D10.B11.A12	5500024031723100807775.D12	.H07.G08.E09.D10.B11.A12
47	Training 	1	5500024024211121606513.C02	.H01.G02.E03.D04.B05.A06	610611110806.C02	.H01.G02.E03.D04.B05.A06
48	Training 	0	5500024030402071707277.H08	.H07.G08.E09.D10.B11.A12	5500024031723100807776.H08	.H07.G08.E09.D10.B11.A12
49	Training 	0	5500024024214122006606.B04	.H01.G02.E03.D04.B05.A06	5500024024213121906561.B04	.H01.G02.E03.D04.B05.A06
50	Training 	1	5500024024211121606513.C08	.H07.G08.E09.D10.B11.A12	610611110806.C08	.H07.G08.E09.D10.B11.A12
51	Training 	0	5500024032848101507997.C10	.G08.E09.D10.B11.A12	5500024035736031208613.C10	.H07.G08.E09.D10.B11.A12
52	Training 	0	5500024024213121906562.A09	.H07.G08.E09.D10.B11.A12	5500024024213121906564.A03	.H01.G02.E03.D04.B05.A06
53	Training 	1	5500024037289120508304.A07	.H07.E09.D10.B11.A12	5500024037498121108438.A01	.H01.G02.E03.D04.B05.A06
54	Training 	0	5500024032848101507997.H05	.H01.E03.D04.B05.A06	5500024035736031208613.H05	.H01.E03.D04.B05.A06
55	Training 	1	5500024051859013109328.F04	.H01.G02.E03.D04.B05.A06	5500024035736031208613.F10	.H07.G08.E09.D10.B11.A12
56	Training 	1	5500024030402071707277.G11	.H07.G08.E09.D10.B11.A12	5500024031723100807771.G05	.H01.G02.E03.D04.B05.A06
57	Training 	1	5500024037498121108437.B04	.H01.E03.D04.B05.A06	5500024034290101707044.B04	.H01.G02.E03.D04.B05.A06
58	Training 	0	5500024024211121606513.F01	.H01.G02.E03.D04.B05.A06	5500024030760072207026.F07	.H07.G08.E09.D10.B11.A12
59	Training 	0	5500024034290101707050.C02	.H01.E03.D04.B05.A06	5500024031723100807771.C02	.H01.G02.E03.D04.B05.A06
60	Training 	0	5500024030402071707279.D08	.H07.G08.E09.D10.B11.A12	5500024031723100807776.D08	.H07.G08.E09.D10.B11.A12
61	Training 	1	5500024030402071707279.G07	.H07.G08.E09.D10.B11.A12	610611110806.G07	.H07.G08.E09.D10.B11.A12
62	Training 	1	5500024028416032807794.B12	.H07.G08.E09.D10.B11	5500024031723100807776.B06	.H01.G02.E03.D04.B05.A06
63	Training 	1	5500024031723100807770.B08	.H07.G08.E09.D10.B11.A12	5500024031723100807769.B08	.H07.G08.E09.D10.B11.A12
64	Training 	0	5500024031723100807770.H10	.H07.G08.E09.D10.B11.A12	5500024031723100807769.H10	.H07.G08.E09.D10.B11.A12
65	Training 	1	5500024037289120508304.H11	.H07.E09.D10.B11.A12	5500024037498121108438.H05	.H01.G02.E03.D04.B05.A06
66	Training 	1	5500024030403071907255.A10	.H07.G08.E09.D10.B11.A12	5500024031723100807775.A10	.H07.G08.E09.D10.B11.A12
67	Training 	1	5500024030403071907251.G12	.H07.G08.E09.D10.B11.A12	5500024030700072107986.G12	.H07.G08.E09.D10.B11.A12
68	Training 	1	5500024030700072107994.F05	.H01.E03.D04.B05.A06	5500024034290101707046.F05	.H01.G02.E03.D04.B05.A06
69	Training 	0	5500024032848101507997.H10	.G08.E09.D10.B11.A12	5500024035736031208613.H10	.H07.G08.E09.D10.B11.A12
70	Training 	1	5500024028849050407169.F06	.H01.G02.E03.D04.B05.A06	5500024030700072107991.F06	.H01.G02.E03.D04.B05.A06
71	Training 	0	5500024024213121906558.A03	.H01.G02.E03.B05.A06	5500024030700072107991.A03	.H01.G02.E03.D04.B05.A06
72	Training 	1	5500024030402071707279.B08	.H07.G08.E09.D10.B11.A12	5500024031723100807776.B08	.H07.G08.E09.D10.B11.A12
73	Training 	1	'5500024030760072207031.E07	.H07.G08.E09.D10.B11.A12	'5500024030700072107991.E07	.H07.G08.E09.D10.B11.A12
74	Training 	0	5500024030403071907252.A05	.H01.G02.E03.D04.B05.A06	5500024034290101707044.A05	.H01.G02.E03.D04.B05.A06
75	Training 	1	5500024028849050407169.C09	.G08.E09.D10.B11.A12	5500024034290101707044.C09	.H07.G08.E09.D10.B11.A12
76	Training 	1	5500024024214122006606.C07	.H07.G08.E09.D10.B11.A12	5500024024213121906561.C07	.H07.G08.E09.D10.B11.A12
77	Training 	1	'5500024037289120508304.E07	.H07.E09.D10.B11.A12	'5500024037498121108438.E01	.H01.G02.E03.D04.B05.A06
78	Training 	1	5500024030700072107994.H02	.H01.E03.D04.B05.A06	5500024034290101707044.H08	.H07.G08.E09.D10.B11.A12
79	Training 	1	5500024030403071907255.H11	.H07.G08.E09.D10.B11.A12	5500024031723100807775.H11	.H07.G08.E09.D10.B11.A12
80	Training 	1	5500024031723100807772.H03	.H01.G02.E03.D04.B05.A06	5500024037498121108442.H09	.H07.G08.D10.B11.A12
81	Training 	1	5500024024211121606513.B09	.H07.G08.E09.D10.B11.A12	5500024031723100807771.B09	.H07.G08.E09.D10.B11.A12
82	Training 	1	5500024030403071907255.D05	.H01.E03.D04.B05.A06	5500024031723100807775.D05	.H01.G02.E03.D04.B05.A06
83	Training 	0	5500024030402071707279.H03	.H01.G02.E03.D04.B05.A06	5500024031723100807776.H03	.H01.G02.E03.D04.B05.A06
84	Training 	1	5500024035735011708571.A11	.H07.G08.E09.D10.B11.A12	5500024034290101707046.A11	.H07.G08.E09.D10.B11.A12
85	Training 	1	EC2004041404AA	EC2004041402AA	EC2004070117AA	EC2004070114AA
86	Training 	1	'5500024024213121906562.E07	.H07.G08.E09.D10.B11.A12	'5500024024213121906564.E01	.H01.G02.E03.D04.B05.A06
87	Training 	1	5500024024214122006606.A08	.H07.G08.E09.D10.B11.A12	5500024024213121906561.A08	.H07.G08.E09.D10.B11.A12
88	Training 	1	5500024053146032309538.F02	5500024053146032309538.F01	5500024053146032309538.F08	5500024053146032309538.F07
89	Training 	1	5500024037498121108437.A01	.H01.E03.D04.B05.A06	5500024034290101707044.A01	.H01.G02.E03.D04.B05.A06
90	Training 	1	5500024051859013109328.B06	.H01.G02.E03.D04.B05.A06	5500024037498121108438.B12	.H07.G08.E09.D10.B11.A12
91	Training 	0	5500024024211121606513.D02	.H01.G02.E03.D04.B05.A06	5500024030760072207026.D02	.H01.G02.E03.D04.A06
92	Training 	0	5500024030700072107994.D09	.H07.G08.E09.D10.B11.A12	5500024031723100807771.D03	.H01.G02.E03.D04.B05.A06
93	Training 	1	5500024030403071907251.D11	.H07.G08.E09.D10.B11.A12	5500024030700072107986.D11	.H07.G08.E09.D10.B11.A12
94	Training 	1	5500024030700072107994.H06	.H01.E03.D04.B05.A06	5500024031723100807773.H12	.H07.G08.E09.D10.B11.A12
95	Training 	1	5500024035735011708567.C02	.H01.G02.E03.D04.B05.A06	5500024037498121108438.C08	.H07.G08.E09.D10.B11.A12
96	Training 	1	5500024031330081907228.F12	.H07.G08.E09.D10.B11.A12	5500024030760072207026.F12	.H07.G08.E09.D10.B11.A12
97	Training 	0	5500024031723100807770.B12	.H07.G08.E09.D10.B11.A12	5500024031723100807769.B12	.H07.G08.E09.D10.B11.A12
98	Training 	1	5500024038291011509600.A06	5500024038291011509600.A01	5500024038291011509600.A12	5500024038291011509600.A07
99	Training 	0	5500024024211121606513.C09	.H07.G08.E09.D10.B11.A12	5500024031723100807771.C09	.H07.G08.E09.D10.B11.A12
100	Training 	1	5500024024213121906558.G05	.H01.G02.E03.B05.A06	5500024030700072107986.G05	.H01.G02.E03.D04.B05.A06
101	Training 	0	5500024037289120508304.D09	.H07.E09.D10.B11.A12	5500024037498121108438.D03	.H01.G02.E03.D04.B05.A06
