cellLine	randomSeed	parameterTested	boolFeatureSelection	accuracy	sensitivity	specificity	mcc
PC3	0	5	False	0.673684210526	0.682795698925	0.25	-0.0207556450578
PC3	1	5	False	0.673684210526	0.682795698925	0.25	-0.0207556450578
PC3	2	5	False	0.678947368421	0.690607734807	0.444444444444	0.0617184253701
PC3	3	5	False	0.668421052632	0.68306010929	0.285714285714	-0.0126542999677
PC3	4	5	False	0.673684210526	0.682795698925	0.25	-0.0207556450578
PC3	0	15	False	0.663157894737	0.694117647059	0.4	0.0621388509904
PC3	1	15	False	0.657894736842	0.687861271676	0.352941176471	0.0250545399377
PC3	2	15	False	0.652631578947	0.690476190476	0.363636363636	0.037249179689
PC3	3	15	False	0.652631578947	0.686046511628	0.333333333333	0.0122096572626
PC3	4	15	False	0.684210526316	0.701149425287	0.5	0.120172780612
PC3	0	25	False	0.668421052632	0.698224852071	0.428571428571	0.0855287673071
PC3	1	25	False	0.663157894737	0.689655172414	0.375	0.0386269651968
PC3	2	25	False	0.657894736842	0.692307692308	0.380952380952	0.0494166211107
PC3	3	25	False	0.652631578947	0.683908045977	0.3125	-0.00214594251094
PC3	4	25	False	0.673684210526	0.697674418605	0.444444444444	0.0895374865927
PC3	0	35	False	0.668421052632	0.698224852071	0.428571428571	0.0855287673071
PC3	1	35	False	0.663157894737	0.689655172414	0.375	0.0386269651968
PC3	2	35	False	0.657894736842	0.692307692308	0.380952380952	0.0494166211107
PC3	3	35	False	0.652631578947	0.683908045977	0.3125	-0.00214594251094
PC3	4	35	False	0.673684210526	0.697674418605	0.444444444444	0.0895374865927
PC3	0	45	False	0.668421052632	0.698224852071	0.428571428571	0.0855287673071
PC3	1	45	False	0.663157894737	0.689655172414	0.375	0.0386269651968
PC3	2	45	False	0.657894736842	0.692307692308	0.380952380952	0.0494166211107
PC3	3	45	False	0.652631578947	0.683908045977	0.3125	-0.00214594251094
PC3	4	45	False	0.673684210526	0.697674418605	0.444444444444	0.0895374865927
PC3	0	55	False	0.668421052632	0.698224852071	0.428571428571	0.0855287673071
PC3	1	55	False	0.663157894737	0.689655172414	0.375	0.0386269651968
PC3	2	55	False	0.657894736842	0.692307692308	0.380952380952	0.0494166211107
PC3	3	55	False	0.652631578947	0.683908045977	0.3125	-0.00214594251094
PC3	4	55	False	0.673684210526	0.697674418605	0.444444444444	0.0895374865927
PC3	0	65	False	0.668421052632	0.698224852071	0.428571428571	0.0855287673071
PC3	1	65	False	0.663157894737	0.689655172414	0.375	0.0386269651968
PC3	2	65	False	0.657894736842	0.692307692308	0.380952380952	0.0494166211107
PC3	3	65	False	0.652631578947	0.683908045977	0.3125	-0.00214594251094
PC3	4	65	False	0.673684210526	0.697674418605	0.444444444444	0.0895374865927
PC3	0	75	False	0.668421052632	0.698224852071	0.428571428571	0.0855287673071
PC3	1	75	False	0.663157894737	0.689655172414	0.375	0.0386269651968
PC3	2	75	False	0.657894736842	0.692307692308	0.380952380952	0.0494166211107
PC3	3	75	False	0.652631578947	0.683908045977	0.3125	-0.00214594251094
PC3	4	75	False	0.673684210526	0.697674418605	0.444444444444	0.0895374865927
PC3	0	85	False	0.668421052632	0.698224852071	0.428571428571	0.0855287673071
PC3	1	85	False	0.663157894737	0.689655172414	0.375	0.0386269651968
PC3	2	85	False	0.657894736842	0.692307692308	0.380952380952	0.0494166211107
PC3	3	85	False	0.652631578947	0.683908045977	0.3125	-0.00214594251094
PC3	4	85	False	0.673684210526	0.697674418605	0.444444444444	0.0895374865927
PC3	0	95	False	0.668421052632	0.698224852071	0.428571428571	0.0855287673071
PC3	1	95	False	0.663157894737	0.689655172414	0.375	0.0386269651968
PC3	2	95	False	0.657894736842	0.692307692308	0.380952380952	0.0494166211107
PC3	3	95	False	0.652631578947	0.683908045977	0.3125	-0.00214594251094
PC3	4	95	False	0.673684210526	0.697674418605	0.444444444444	0.0895374865927
