cellLine	randomSeed	parameterTested	boolFeatureSelection	accuracy	sensitivity	specificity	mcc
PC3	0	2	False	0.684210526316	0.708333333333	0.5	0.143409341803
PC3	1	2	False	0.684210526316	0.705882352941	0.5	0.135928736542
PC3	2	2	False	0.668421052632	0.691428571429	0.4	0.0530394835305
PC3	3	2	False	0.684210526316	0.708333333333	0.5	0.143409341803
PC3	4	2	False	0.684210526316	0.703488372093	0.5	0.128201401258
PC3	0	3	False	0.673684210526	0.702380952381	0.454545454545	0.108022621098
PC3	1	3	False	0.678947368421	0.706586826347	0.478260869565	0.129714609865
PC3	2	3	False	0.678947368421	0.692737430168	0.454545454545	0.0739993386724
PC3	3	3	False	0.689473684211	0.712574850299	0.521739130435	0.164426970252
PC3	4	3	False	0.673684210526	0.697674418605	0.444444444444	0.0895374865927
PC3	0	4	False	0.668421052632	0.698224852071	0.428571428571	0.0855287673071
PC3	1	4	False	0.668421052632	0.700598802395	0.434782608696	0.0950022494789
PC3	2	4	False	0.652631578947	0.681818181818	0.285714285714	-0.018248296715
PC3	3	4	False	0.684210526316	0.708333333333	0.5	0.143409341803
PC3	4	4	False	0.684210526316	0.703488372093	0.5	0.128201401258
PC3	0	5	False	0.673684210526	0.697674418605	0.444444444444	0.0895374865927
PC3	1	5	False	0.673684210526	0.702380952381	0.454545454545	0.108022621098
PC3	2	5	False	0.668421052632	0.691428571429	0.4	0.0530394835305
PC3	3	5	False	0.694736842105	0.714285714286	0.545454545455	0.178796062507
PC3	4	5	False	0.684210526316	0.698863636364	0.5	0.11177081738
PC3	0	6	False	0.673684210526	0.697674418605	0.444444444444	0.0895374865927
PC3	1	6	False	0.678947368421	0.701754385965	0.473684210526	0.113227703414
PC3	2	6	False	0.668421052632	0.693641618497	0.411764705882	0.0647242281724
PC3	3	6	False	0.673684210526	0.7	0.45	0.099033793766
PC3	4	6	False	0.652631578947	0.688235294118	0.35	0.0252439082149
PC3	0	7	False	0.663157894737	0.694117647059	0.4	0.0621388509904
PC3	1	7	False	0.657894736842	0.690058479532	0.368421052632	0.0377425678048
PC3	2	7	False	0.673684210526	0.695402298851	0.4375	0.0793998729046
PC3	3	7	False	0.689473684211	0.710059171598	0.52380952381	0.1577530597
PC3	4	7	False	0.657894736842	0.685714285714	0.333333333333	0.0110498924022
PC3	0	8	False	0.689473684211	0.705202312139	0.529411764706	0.144063604642
PC3	1	8	False	0.642105263158	0.682352941176	0.3	-0.0116510345607
PC3	2	8	False	0.657894736842	0.690058479532	0.368421052632	0.0377425678048
PC3	3	8	False	0.673684210526	0.702380952381	0.454545454545	0.108022621098
PC3	4	8	False	0.678947368421	0.704142011834	0.47619047619	0.121640913503
PC3	0	9	False	0.689473684211	0.707602339181	0.526315789474	0.150970271219
PC3	1	9	False	0.657894736842	0.690058479532	0.368421052632	0.0377425678048
PC3	2	9	False	0.663157894737	0.696428571429	0.409090909091	0.0726359003935
PC3	3	9	False	0.684210526316	0.703488372093	0.5	0.128201401258
PC3	4	9	False	0.689473684211	0.710059171598	0.52380952381	0.1577530597
PC3	0	10	False	0.694736842105	0.709302325581	0.555555555556	0.166865315923
PC3	1	10	False	0.647368421053	0.684210526316	0.315789473684	0.0
PC3	2	10	False	0.657894736842	0.690058479532	0.368421052632	0.0377425678048
PC3	3	10	False	0.668421052632	0.695906432749	0.421052631579	0.0754851356096
PC3	4	10	False	0.668421052632	0.700598802395	0.434782608696	0.0950022494789
PC3	0	11	False	0.694736842105	0.711764705882	0.55	0.172823679317
PC3	1	11	False	0.657894736842	0.694610778443	0.391304347826	0.0602898890924
PC3	2	11	False	0.652631578947	0.688235294118	0.35	0.0252439082149
PC3	3	11	False	0.657894736842	0.692307692308	0.380952380952	0.0494166211107
PC3	4	11	False	0.684210526316	0.710843373494	0.5	0.150685797118
PC3	0	12	False	0.673684210526	0.695402298851	0.4375	0.0793998729046
PC3	1	12	False	0.642105263158	0.684523809524	0.318181818182	0.00186245898445
PC3	2	12	False	0.647368421053	0.684210526316	0.315789473684	0.0
PC3	3	12	False	0.668421052632	0.698224852071	0.428571428571	0.0855287673071
PC3	4	12	False	0.668421052632	0.698224852071	0.428571428571	0.0855287673071
PC3	0	13	False	0.689473684211	0.707602339181	0.526315789474	0.150970271219
PC3	1	13	False	0.621052631579	0.670588235294	0.2	-0.0854409201119
PC3	2	13	False	0.673684210526	0.697674418605	0.444444444444	0.0895374865927
PC3	3	13	False	0.663157894737	0.696428571429	0.409090909091	0.0726359003935
PC3	4	13	False	0.663157894737	0.694117647059	0.4	0.0621388509904
PC3	0	14	False	0.689473684211	0.705202312139	0.529411764706	0.144063604642
PC3	1	14	False	0.636842105263	0.680473372781	0.285714285714	-0.0228076712819
PC3	2	14	False	0.668421052632	0.691428571429	0.4	0.0530394835305
PC3	3	14	False	0.657894736842	0.699386503067	0.407407407407	0.0802185619571
PC3	4	14	False	0.678947368421	0.697142857143	0.466666666667	0.0950290746589
