cellLine	randomSeed	parameterTested	boolFeatureSelection	accuracy	sensitivity	specificity	mcc
PC3	0	6	False	0.610526315789	0.71875	0.387096774194	0.106765553315
PC3	1	6	False	0.626315789474	0.725190839695	0.406779661017	0.131368492654
PC3	2	6	False	0.542105263158	0.680672268908	0.30985915493	-0.00985462336522
PC3	3	6	False	0.578947368421	0.698412698413	0.34375	0.042870283564
PC3	4	6	False	0.505263157895	0.647540983607	0.25	-0.105666483014
PC3	0	11	False	0.647368421053	0.698113207547	0.387096774194	0.0677364730853
PC3	1	11	False	0.647368421053	0.695652173913	0.379310344828	0.0579974375641
PC3	2	11	False	0.642105263158	0.698717948718	0.382352941176	0.0668527684395
PC3	3	11	False	0.652631578947	0.707792207792	0.416666666667	0.104927706112
PC3	4	11	False	0.626315789474	0.690322580645	0.342857142857	0.0276710304647
PC3	0	16	False	0.610526315789	0.681818181818	0.305555555556	-0.0106448397504
PC3	1	16	False	0.647368421053	0.703225806452	0.4	0.0860876503345
PC3	2	16	False	0.636842105263	0.699346405229	0.378378378378	0.0662153681007
PC3	3	16	False	0.673684210526	0.717948717949	0.470588235294	0.15547155451
PC3	4	16	False	0.642105263158	0.701298701299	0.388888888889	0.076034569646
PC3	0	21	False	0.673684210526	0.7	0.45	0.099033793766
PC3	1	21	False	0.668421052632	0.700598802395	0.434782608696	0.0950022494789
PC3	2	21	False	0.652631578947	0.690476190476	0.363636363636	0.037249179689
PC3	3	21	False	0.7	0.718562874251	0.565217391304	0.199139330639
PC3	4	21	False	0.652631578947	0.69512195122	0.384615384615	0.0589553222667
PC3	0	26	False	0.673684210526	0.702380952381	0.454545454545	0.108022621098
PC3	1	26	False	0.684210526316	0.710843373494	0.5	0.150685797118
PC3	2	26	False	0.673684210526	0.697674418605	0.444444444444	0.0895374865927
PC3	3	26	False	0.689473684211	0.715151515152	0.52	0.171006436263
PC3	4	26	False	0.668421052632	0.705521472393	0.444444444444	0.112647342323
PC3	0	31	False	0.684210526316	0.701149425287	0.5	0.120172780612
PC3	1	31	False	0.684210526316	0.705882352941	0.5	0.135928736542
PC3	2	31	False	0.663157894737	0.685393258427	0.333333333333	0.0097996838673
PC3	3	31	False	0.689473684211	0.705202312139	0.529411764706	0.144063604642
PC3	4	31	False	0.668421052632	0.698224852071	0.428571428571	0.0855287673071
PC3	0	36	False	0.663157894737	0.694117647059	0.4	0.0621388509904
PC3	1	36	False	0.678947368421	0.701754385965	0.473684210526	0.113227703414
PC3	2	36	False	0.652631578947	0.683908045977	0.3125	-0.00214594251094
PC3	3	36	False	0.689473684211	0.707602339181	0.526315789474	0.150970271219
PC3	4	36	False	0.668421052632	0.698224852071	0.428571428571	0.0855287673071
PC3	0	41	False	0.657894736842	0.687861271676	0.352941176471	0.0250545399377
PC3	1	41	False	0.663157894737	0.691860465116	0.388888888889	0.0508735719277
PC3	2	41	False	0.657894736842	0.683615819209	0.307692307692	-0.0047208954764
PC3	3	41	False	0.694736842105	0.709302325581	0.555555555556	0.166865315923
PC3	4	41	False	0.647368421053	0.682080924855	0.294117647059	-0.014615148297
PC3	0	46	False	0.652631578947	0.686046511628	0.333333333333	0.0122096572626
PC3	1	46	False	0.678947368421	0.701754385965	0.473684210526	0.113227703414
PC3	2	46	False	0.673684210526	0.688888888889	0.4	0.0427008410147
PC3	3	46	False	0.694736842105	0.709302325581	0.555555555556	0.166865315923
PC3	4	46	False	0.657894736842	0.687861271676	0.352941176471	0.0250545399377
PC3	0	51	False	0.673684210526	0.695402298851	0.4375	0.0793998729046
PC3	1	51	False	0.684210526316	0.703488372093	0.5	0.128201401258
PC3	2	51	False	0.678947368421	0.692737430168	0.454545454545	0.0739993386724
PC3	3	51	False	0.689473684211	0.705202312139	0.529411764706	0.144063604642
PC3	4	51	False	0.673684210526	0.695402298851	0.4375	0.0793998729046
PC3	0	56	False	0.673684210526	0.695402298851	0.4375	0.0793998729046
PC3	1	56	False	0.694736842105	0.714285714286	0.545454545455	0.178796062507
PC3	2	56	False	0.673684210526	0.691011235955	0.416666666667	0.056348182237
PC3	3	56	False	0.694736842105	0.709302325581	0.555555555556	0.166865315923
PC3	4	56	False	0.673684210526	0.695402298851	0.4375	0.0793998729046
PC3	0	61	False	0.663157894737	0.6875	0.357142857143	0.0250914079832
PC3	1	61	False	0.689473684211	0.705202312139	0.529411764706	0.144063604642
PC3	2	61	False	0.684210526316	0.694444444444	0.5	0.0934080897196
PC3	3	61	False	0.689473684211	0.702857142857	0.533333333333	0.137018665787
PC3	4	61	False	0.668421052632	0.691428571429	0.4	0.0530394835305
PC3	0	66	False	0.678947368421	0.699421965318	0.470588235294	0.104393916407
PC3	1	66	False	0.689473684211	0.707602339181	0.526315789474	0.150970271219
PC3	2	66	False	0.673684210526	0.691011235955	0.416666666667	0.056348182237
PC3	3	66	False	0.678947368421	0.694915254237	0.461538461538	0.0849761185752
PC3	4	66	False	0.663157894737	0.689655172414	0.375	0.0386269651968
PC3	0	71	False	0.668421052632	0.691428571429	0.4	0.0530394835305
PC3	1	71	False	0.668421052632	0.691428571429	0.4	0.0530394835305
