cellLine	randomSeed	parameterTested	boolFeatureSelection	accuracy	sensitivity	specificity	mcc
PC3	0	1	False	0.694736842105	0.71686746988	0.541666666667	0.184769489324
PC3	1	1	False	0.642105263158	0.682352941176	0.3	-0.0116510345607
PC3	2	1	False	0.668421052632	0.695906432749	0.421052631579	0.0754851356096
PC3	3	1	False	0.668421052632	0.700598802395	0.434782608696	0.0950022494789
PC3	4	1	False	0.694736842105	0.711764705882	0.55	0.172823679317
PC3	0	11	False	0.694736842105	0.71686746988	0.541666666667	0.184769489324
PC3	1	11	False	0.642105263158	0.682352941176	0.3	-0.0116510345607
PC3	2	11	False	0.668421052632	0.695906432749	0.421052631579	0.0754851356096
PC3	3	11	False	0.668421052632	0.700598802395	0.434782608696	0.0950022494789
PC3	4	11	False	0.694736842105	0.711764705882	0.55	0.172823679317
PC3	0	21	False	0.694736842105	0.71686746988	0.541666666667	0.184769489324
PC3	1	21	False	0.642105263158	0.682352941176	0.3	-0.0116510345607
PC3	2	21	False	0.668421052632	0.695906432749	0.421052631579	0.0754851356096
PC3	3	21	False	0.668421052632	0.700598802395	0.434782608696	0.0950022494789
PC3	4	21	False	0.694736842105	0.711764705882	0.55	0.172823679317
PC3	0	31	False	0.694736842105	0.71686746988	0.541666666667	0.184769489324
PC3	1	31	False	0.642105263158	0.682352941176	0.3	-0.0116510345607
PC3	2	31	False	0.668421052632	0.695906432749	0.421052631579	0.0754851356096
PC3	3	31	False	0.668421052632	0.700598802395	0.434782608696	0.0950022494789
PC3	4	31	False	0.694736842105	0.711764705882	0.55	0.172823679317
PC3	0	41	False	0.694736842105	0.71686746988	0.541666666667	0.184769489324
PC3	1	41	False	0.642105263158	0.682352941176	0.3	-0.0116510345607
PC3	2	41	False	0.668421052632	0.695906432749	0.421052631579	0.0754851356096
PC3	3	41	False	0.668421052632	0.700598802395	0.434782608696	0.0950022494789
PC3	4	41	False	0.694736842105	0.711764705882	0.55	0.172823679317
PC3	0	51	False	0.694736842105	0.71686746988	0.541666666667	0.184769489324
PC3	1	51	False	0.642105263158	0.682352941176	0.3	-0.0116510345607
PC3	2	51	False	0.668421052632	0.695906432749	0.421052631579	0.0754851356096
PC3	3	51	False	0.668421052632	0.700598802395	0.434782608696	0.0950022494789
PC3	4	51	False	0.694736842105	0.711764705882	0.55	0.172823679317
PC3	0	61	False	0.694736842105	0.71686746988	0.541666666667	0.184769489324
PC3	1	61	False	0.642105263158	0.682352941176	0.3	-0.0116510345607
PC3	2	61	False	0.668421052632	0.695906432749	0.421052631579	0.0754851356096
PC3	3	61	False	0.668421052632	0.700598802395	0.434782608696	0.0950022494789
PC3	4	61	False	0.694736842105	0.711764705882	0.55	0.172823679317
PC3	0	71	False	0.694736842105	0.71686746988	0.541666666667	0.184769489324
PC3	1	71	False	0.642105263158	0.682352941176	0.3	-0.0116510345607
PC3	2	71	False	0.668421052632	0.695906432749	0.421052631579	0.0754851356096
PC3	3	71	False	0.668421052632	0.700598802395	0.434782608696	0.0950022494789
PC3	4	71	False	0.694736842105	0.711764705882	0.55	0.172823679317
PC3	0	81	False	0.694736842105	0.71686746988	0.541666666667	0.184769489324
PC3	1	81	False	0.642105263158	0.682352941176	0.3	-0.0116510345607
PC3	2	81	False	0.668421052632	0.695906432749	0.421052631579	0.0754851356096
PC3	3	81	False	0.668421052632	0.700598802395	0.434782608696	0.0950022494789
PC3	4	81	False	0.694736842105	0.711764705882	0.55	0.172823679317
PC3	0	91	False	0.694736842105	0.71686746988	0.541666666667	0.184769489324
PC3	1	91	False	0.642105263158	0.682352941176	0.3	-0.0116510345607
PC3	2	91	False	0.668421052632	0.695906432749	0.421052631579	0.0754851356096
PC3	3	91	False	0.668421052632	0.700598802395	0.434782608696	0.0950022494789
PC3	4	91	False	0.694736842105	0.711764705882	0.55	0.172823679317
