Compound No. from Validation List,MCF7,PC3
1,1,1
2,1,1
3,1,1
4,1,1
5,1,1
6,1,1
7,1,1
8,1,1
9,1,1
10,1,1
11,1,1
12,1,1
13,0,0
14,1,1
15,1,1
16,1,1
17,1,1
18,1,1
19,1,1
20,1,0
21,0,1
22,1,1
23,1,1
24,1,0
25,1,1
26,1,1
27,1,1
28,1,1
29,1,1
30,1,0
31,1,1
32,1,0
33,1,1
34,1,1
35,1,1
36,1,1
37,1,1
38,1,1
39,1,1
40,1,1
41,1,1
42,0,1
43,1,1
44,1,0
45,1,0
46,1,1
47,1,1
48,1,1
49,1,1
50,1,0
51,1,1
52,1,0
53,0,1
54,1,0
55,0,1
56,1,0
57,0,1
58,1,1
59,1,0
60,1,1
61,1,1
62,1,1
63,1,1
64,1,1
65,1,1
66,1,1
67,1,1
68,1,1
69,1,0
70,1,1
71,1,1
72,1,1
73,1,1
74,1,1
75,0,0
76,1,1
77,1,1
78,1,0
79,0,1
80,1,0
81,1,1
82,1,1
83,1,1
84,1,1
85,1,1
86,1,1
