Compound No. from Validation List,MCF7,PC3
1,0,1
2,0,1
3,1,1
4,1,0
5,0,1
6,1,1
7,0,1
8,0,1
9,1,1
10,1,1
11,1,0
12,1,1
13,0,0
14,0,1
15,1,1
16,1,1
17,1,1
18,1,1
19,1,1
20,0,1
21,0,0
22,1,1
23,0,1
24,1,0
25,1,0
26,1,0
27,0,1
28,1,1
29,1,1
30,1,1
31,1,1
32,0,1
33,1,1
34,1,1
35,1,1
36,1,1
37,1,1
38,1,1
39,1,1
40,0,1
41,1,1
42,0,1
43,1,1
44,1,1
45,1,1
46,1,1
47,1,1
48,1,1
49,1,1
50,0,0
51,0,1
52,0,0
53,0,1
54,0,1
55,0,1
56,1,1
57,1,1
58,0,1
59,1,1
60,1,1
61,1,1
62,1,1
63,1,1
64,1,1
65,1,1
66,1,1
67,1,1
68,0,1
69,0,1
70,0,1
71,1,1
72,1,1
73,0,0
74,1,1
75,0,0
76,1,1
77,1,1
78,0,1
79,1,1
80,1,0
81,1,1
82,0,0
83,1,1
84,1,1
85,1,1
86,0,1
